Country,YearsCode,EdLevel,Employment,LanguageHaveWorkedWith,ConvertedCompYearly
Other,12.0,Some college,Full-time,8.0,31324.0
United States of America,16.0,Master's,Full-time,12.0,157000.0
United States of America,44.0,Master's,Full-time,,315000.0
United States of America,40.0,Bachelor's,Full-time,7.0,123000.0
United States of America,33.0,Master's,Full-time,7.0,363000.0
Other,4.0,Bachelor's,Full-time,6.0,62261.0
Other,13.0,Professional,Full-time,5.0,78306.0
Italy,19.0,Professional,Full-time,12.0,46406.0
Italy,45.0,Some college,Full-time,6.0,174022.0
United States of America,27.0,Some college,Full-time,4.0,105000.0
Germany,13.0,High school,Full-time,10.0,81210.0
Other,7.0,Some college,Full-time,5.0,121815.0
Other,14.0,Bachelor's,Full-time,3.0,150819.0
Canada,30.0,Bachelor's,Full-time,12.0,83902.0
Other,9.0,Bachelor's,Full-time,4.0,58006.0
United States of America,17.0,Some college,Full-time,9.0,100000.0
Other,5.0,Professional,Full-time,1.0,33805.0
Other,20.0,Master's,Full-time,6.0,75183.0
United States of America,19.0,Associate's,Full-time,8.0,220000.0
Netherlands,21.0,Bachelor's,Full-time,6.0,60328.0
United States of America,15.0,Bachelor's,Full-time,7.0,315000.0
United States of America,14.0,Bachelor's,Full-time,4.0,71000.0
United States of America,8.0,Bachelor's,Full-time,13.0,120000.0
Other,15.0,Master's,Full-time,4.0,102907.0
United States of America,12.0,Professional,Full-time,3.0,120000.0
Other,1.0,High school,Student,4.0,17559.0
Other,21.0,Professional,Full-time,3.0,44658.0
Other,32.0,Master's,Full-time,5.0,197683.0
United Kingdom of Great Britain and Northern Ireland,9.0,Some college,Student,2.0,27228.0
United States of America,21.0,Associate's,Full-time,15.0,160000.0
Other,9.0,Some college,Student,7.0,19723.0
Other,9.0,Bachelor's,Full-time,8.0,47375.0
United States of America,20.0,High school,Full-time,2.0,60000.0
United States of America,11.0,Bachelor's,Full-time,8.0,142000.0
Other,8.0,Bachelor's,Full-time,7.0,45000.0
Netherlands,6.0,Master's,Full-time,7.0,174022.0
Australia,22.0,Master's,Full-time,7.0,81262.0
Other,13.0,Bachelor's,Full-time,8.0,12873.0
United States of America,11.0,Bachelor's,Full-time,3.0,94000.0
Canada,13.0,Bachelor's,Full-time,7.0,72958.0
Ukraine,24.0,Some college,Full-time,2.0,59556.0
United States of America,28.0,Bachelor's,Full-time,4.0,158000.0
United States of America,12.0,High school,Full-time,7.0,156000.0
United States of America,19.0,Master's,Student,1.0,30000.0
Poland,15.0,Master's,Full-time,4.0,55671.0
United States of America,12.0,Master's,Full-time,8.0,260000.0
Canada,19.0,Some college,Full-time,4.0,94846.0
United States of America,16.0,Some college,Full-time,4.0,180000.0
United Kingdom of Great Britain and Northern Ireland,18.0,High school,Full-time,,176984.0
Other,21.0,Master's,Full-time,7.0,37445.0
United States of America,18.0,Some college,Full-time,6.0,144000.0
Netherlands,14.0,Bachelor's,Full-time,7.0,116015.0
Other,10.0,Associate's,Full-time,11.0,30710.0
United States of America,18.0,Bachelor's,Full-time,9.0,176000.0
United States of America,10.0,Master's,Full-time,4.0,75000.0
United States of America,28.0,Bachelor's,Full-time,8.0,140000.0
Canada,34.0,Master's,Full-time,5.0,156131.0
Canada,24.0,Bachelor's,Full-time,9.0,81713.0
France,35.0,Master's,Full-time,10.0,63808.0
Other,15.0,Bachelor's,Full-time,4.0,79742.0
United States of America,21.0,Bachelor's,Full-time,4.0,100000.0
Brazil,18.0,Bachelor's,Full-time,3.0,83737.0
Other,100.0,Other,Full-time,,444449.0
United States of America,19.0,Bachelor's,Full-time,6.0,255000.0
United States of America,45.0,Bachelor's,Full-time,6.0,120000.0
Ukraine,5.0,Bachelor's,Full-time,2.0,34804.0
United States of America,56.0,Master's,Full-time,6.0,120000.0
United States of America,25.0,Bachelor's,Full-time,7.0,126000.0
United States of America,15.0,Bachelor's,Full-time,,400000.0
United Kingdom of Great Britain and Northern Ireland,18.0,Bachelor's,Full-time,4.0,95299.0
Other,38.0,Master's,Full-time,5.0,29370.0
Canada,35.0,Bachelor's,Full-time,8.0,259732.0
Other,20.0,Master's,Full-time,8.0,64247.0
United Kingdom of Great Britain and Northern Ireland,18.0,Some college,Full-time,9.0,190598.0
United States of America,5.0,Bachelor's,Full-time,9.0,180000.0
Other,12.0,Some college,Full-time,7.0,100000.0
Germany,20.0,Master's,Full-time,7.0,75943.0
Australia,30.0,High school,Full-time,9.0,117017.0
Other,20.0,Bachelor's,Full-time,4.0,85306.0
Other,10.0,Bachelor's,Full-time,3.0,27372.0
United States of America,10.0,Bachelor's,Full-time,14.0,163000.0
Brazil,15.0,High school,Full-time,8.0,110000.0
Other,12.0,Bachelor's,Full-time,11.0,88191.0
United States of America,15.0,Master's,Full-time,7.0,350000.0
Australia,13.0,Bachelor's,Full-time,7.0,97514.0
United States of America,30.0,Master's,Full-time,4.0,120000.0
Other,15.0,Bachelor's,Full-time,6.0,34125.0
Germany,11.0,Some college,Full-time,1.0,103253.0
Canada,25.0,Bachelor's,Full-time,7.0,114545.0
United States of America,17.0,Master's,Full-time,12.0,200000.0
India,3.0,High school,Full-time,11.0,32547.0
Canada,20.0,Master's,Full-time,6.0,160508.0
Netherlands,44.0,Professional,Full-time,8.0,150819.0
India,5.0,Bachelor's,Full-time,2.0,27898.0
United States of America,9.0,Bachelor's,Full-time,4.0,127000.0
Australia,22.0,Bachelor's,Full-time,5.0,117667.0
United States of America,21.0,Bachelor's,Full-time,2.0,350000.0
United States of America,34.0,Some college,Full-time,4.0,180000.0
Germany,22.0,Master's,Full-time,12.0,197225.0
United States of America,15.0,Bachelor's,Full-time,10.0,169000.0
United States of America,32.0,Master's,Full-time,4.0,475000.0
Ukraine,20.0,Master's,Full-time,6.0,103055.0
United States of America,7.0,Some college,Full-time,12.0,90000.0
United States of America,17.0,Master's,Full-time,2.0,161000.0
United States of America,30.0,Master's,Full-time,7.0,175000.0
United States of America,14.0,Bachelor's,Full-time,4.0,160000.0
India,12.0,Bachelor's,Full-time,7.0,37197.0
Other,15.0,Master's,Full-time,3.0,104413.0
Germany,35.0,Master's,Full-time,4.0,111374.0
Switzerland,22.0,Bachelor's,Full-time,8.0,145072.0
United States of America,34.0,Professional,Full-time,3.0,210000.0
United Kingdom of Great Britain and Northern Ireland,43.0,Bachelor's,Other,6.0,16337.0
Ukraine,7.0,Master's,Full-time,9.0,35949.0
Netherlands,24.0,Bachelor's,Full-time,6.0,81210.0
Other,10.0,Professional,Full-time,10.0,34804.0
United Kingdom of Great Britain and Northern Ireland,11.0,Bachelor's,Full-time,7.0,144310.0
India,16.0,Bachelor's,Full-time,3.0,40684.0
Other,35.0,Master's,Full-time,1.0,75357.0
France,30.0,Master's,Full-time,4.0,63808.0
Australia,40.0,Bachelor's,Full-time,7.0,195028.0
France,8.0,Master's,Full-time,5.0,52207.0
France,45.0,Master's,Full-time,6.0,110214.0
Germany,25.0,Some college,Full-time,7.0,104413.0
United States of America,24.0,Bachelor's,Full-time,7.0,30000.0
Other,13.0,Master's,Full-time,1.0,126239.0
Australia,30.0,Bachelor's,Full-time,3.0,110516.0
Other,16.0,Bachelor's,Full-time,,145018.0
Germany,20.0,Some college,Full-time,10.0,73089.0
United Kingdom of Great Britain and Northern Ireland,18.0,Master's,Full-time,10.0,102106.0
United Kingdom of Great Britain and Northern Ireland,12.0,Bachelor's,Full-time,6.0,110275.0
Germany,15.0,Master's,Full-time,8.0,81210.0
India,4.0,Bachelor's,Full-time,1.0,20923.0
United States of America,15.0,Bachelor's,Full-time,10.0,185000.0
Other,10.0,High school,Full-time,1.0,85536.0
United States of America,5.0,Bachelor's,Full-time,7.0,95000.0
Other,12.0,Bachelor's,Full-time,5.0,98447.0
Italy,40.0,High school,Full-time,4.0,69609.0
France,17.0,Other,Full-time,,104413.0
Italy,14.0,Master's,Full-time,,34804.0
Ukraine,7.0,Associate's,Full-time,8.0,13141.0
Germany,17.0,Master's,Full-time,5.0,83531.0
Other,13.0,Master's,Full-time,1.0,52207.0
Other,18.0,Master's,Full-time,5.0,111374.0
Germany,30.0,Master's,Full-time,3.0,81210.0
Other,21.0,Bachelor's,Full-time,,88368.0
Italy,22.0,Master's,Full-time,7.0,168221.0
Germany,26.0,Bachelor's,Full-time,7.0,98612.0
Germany,27.0,Professional,Full-time,4.0,98612.0
United Kingdom of Great Britain and Northern Ireland,38.0,Bachelor's,Full-time,2.0,176984.0
Other,10.0,Bachelor's,Full-time,2.0,25161.0
Germany,7.0,Other,Full-time,,15082.0
Italy,40.0,Master's,Full-time,9.0,46406.0
Germany,25.0,Master's,Full-time,10.0,139218.0
France,46.0,Master's,Full-time,7.0,78890.0
Sweden,11.0,High school,Full-time,5.0,70440.0
Germany,15.0,Master's,Full-time,7.0,46406.0
Other,15.0,Bachelor's,Full-time,7.0,83981.0
Germany,12.0,Some college,Full-time,6.0,62648.0
Germany,5.0,Some college,Student,12.0,19305.0
United Kingdom of Great Britain and Northern Ireland,36.0,Master's,Full-time,4.0,95299.0
Ukraine,10.0,Master's,Full-time,9.0,76692.0
United Kingdom of Great Britain and Northern Ireland,25.0,Bachelor's,Full-time,9.0,55818.0
Other,23.0,Bachelor's,Full-time,2.0,180000.0
Netherlands,13.0,Bachelor's,Full-time,7.0,81210.0
Other,5.0,Bachelor's,Full-time,5.0,11589.0
United Kingdom of Great Britain and Northern Ireland,14.0,Master's,Full-time,6.0,299511.0
Other,17.0,Bachelor's,Full-time,,103786.0
Other,14.0,High school,Full-time,7.0,100237.0
India,15.0,Master's,Full-time,5.0,29060.0
Switzerland,6.0,Master's,Full-time,,96714.0
Other,7.0,High school,Student,12.0,48806.0
Australia,40.0,Master's,Full-time,11.0,91013.0
Switzerland,22.0,Bachelor's,Full-time,6.0,136392.0
Other,10.0,High school,Student,4.0,17199.0
Other,15.0,Master's,Full-time,3.0,65634.0
Ukraine,11.0,Some college,Full-time,,98089.0
Other,15.0,Bachelor's,Full-time,6.0,35344.0
Ukraine,10.0,Master's,Full-time,,120000.0
Other,19.0,Bachelor's,Full-time,6.0,12000.0
Other,35.0,High school,Full-time,7.0,69609.0
Other,13.0,Bachelor's,Full-time,12.0,18267.0
Italy,14.0,Some college,Full-time,7.0,13922.0
Poland,37.0,Master's,Full-time,4.0,76412.0
Other,45.0,Master's,Full-time,13.0,217420.0
Other,14.0,Master's,Full-time,6.0,81210.0
Germany,35.0,Other,Full-time,10.0,116015.0
United Kingdom of Great Britain and Northern Ireland,47.0,Some college,Full-time,1.0,67179.0
Other,11.0,Master's,Full-time,5.0,54527.0
Brazil,28.0,Master's,Full-time,11.0,43689.0
Other,12.0,Bachelor's,Full-time,4.0,38278.0
Spain,6.0,Bachelor's,Student,4.0,13922.0
Other,,High school,Full-time,1.0,17777.0
Ukraine,6.0,Bachelor's,Full-time,2.0,29825.0
Sweden,28.0,Master's,Full-time,5.0,78616.0
Other,13.0,Bachelor's,Full-time,6.0,42322.0
Spain,36.0,Master's,Full-time,7.0,116015.0
Ukraine,4.0,Bachelor's,Full-time,7.0,24000.0
Italy,23.0,Bachelor's,Full-time,5.0,58007.0
Other,10.0,Master's,Full-time,1.0,124359.0
Ukraine,17.0,Master's,Full-time,8.0,60000.0
Germany,8.0,Bachelor's,Full-time,7.0,67289.0
Australia,50.0,Master's,Full-time,8.0,16252.0
Other,11.0,Bachelor's,Full-time,6.0,47441.0
India,20.0,Master's,Full-time,,37197.0
Netherlands,7.0,Professional,Full-time,5.0,74249.0
United Kingdom of Great Britain and Northern Ireland,8.0,Bachelor's,Full-time,5.0,34035.0
Other,3.0,Master's,Full-time,11.0,91781.0
Italy,15.0,High school,Full-time,2.0,41765.0
Other,10.0,Master's,Full-time,4.0,71300.0
Sweden,25.0,Bachelor's,Full-time,7.0,69182.0
Other,20.0,Some college,Full-time,5.0,57557.0
Ukraine,2.0,Bachelor's,Full-time,2.0,26600.0
Germany,13.0,Bachelor's,Full-time,5.0,70769.0
United Kingdom of Great Britain and Northern Ireland,21.0,Bachelor's,Full-time,3.0,84408.0
Germany,18.0,Master's,Full-time,1.0,92812.0
Sweden,13.0,Bachelor's,Full-time,10.0,55660.0
Poland,9.0,Bachelor's,Full-time,5.0,42572.0
Australia,20.0,Bachelor's,Full-time,6.0,130019.0
United States of America,25.0,Master's,Full-time,3.0,13000.0
Canada,11.0,Master's,Full-time,7.0,62015.0
Germany,20.0,Master's,Full-time,7.0,52207.0
Switzerland,30.0,Master's,Full-time,2.0,161191.0
Poland,35.0,Master's,Full-time,12.0,60038.0
United Kingdom of Great Britain and Northern Ireland,16.0,Bachelor's,Full-time,4.0,176984.0
United States of America,30.0,Master's,Full-time,3.0,250000.0
Netherlands,16.0,Master's,Full-time,5.0,121815.0
United Kingdom of Great Britain and Northern Ireland,16.0,Master's,Full-time,,149756.0
United Kingdom of Great Britain and Northern Ireland,20.0,Bachelor's,Full-time,1.0,136141.0
Other,9.0,Bachelor's,Full-time,8.0,12273.0
Other,5.0,Some college,Full-time,5.0,38549.0
Poland,10.0,High school,Full-time,,13645.0
Canada,6.0,Associate's,Full-time,6.0,37938.0
India,18.0,Bachelor's,Full-time,,53470.0
Germany,18.0,Professional,Full-time,6.0,75410.0
United States of America,20.0,Bachelor's,Full-time,6.0,106000.0
Ukraine,5.0,Master's,Full-time,,23870.0
United States of America,20.0,Master's,Full-time,6.0,150000.0
Spain,30.0,Master's,Full-time,5.0,63808.0
France,20.0,Master's,Full-time,7.0,116015.0
Brazil,6.0,Bachelor's,Full-time,6.0,12743.0
Other,19.0,Master's,Full-time,9.0,78633.0
India,13.0,Bachelor's,Full-time,7.0,40684.0
Other,8.0,Bachelor's,Full-time,9.0,11493.0
Ukraine,15.0,Master's,Full-time,,60000.0
United States of America,9.0,Bachelor's,Full-time,15.0,52000.0
Germany,8.0,Associate's,Full-time,4.0,75410.0
Other,27.0,Some college,Full-time,6.0,232029.0
United States of America,18.0,Bachelor's,Full-time,5.0,182000.0
Other,26.0,Bachelor's,Full-time,3.0,10000.0
France,3.0,Bachelor's,Full-time,7.0,46406.0
France,17.0,Master's,Full-time,7.0,58007.0
Germany,9.0,Bachelor's,Full-time,6.0,81210.0
Germany,30.0,Master's,Full-time,8.0,139218.0
Germany,3.0,Bachelor's,Full-time,,53367.0
India,1.0,Bachelor's,Student,,11624.0
India,13.0,Bachelor's,Full-time,2.0,25573.0
United States of America,16.0,Some college,Full-time,6.0,181000.0
United States of America,27.0,Some college,Full-time,14.0,160000.0
Other,12.0,Bachelor's,Full-time,5.0,60000.0
Germany,10.0,Bachelor's,Full-time,10.0,168221.0
Netherlands,20.0,Master's,Full-time,7.0,74249.0
Ukraine,10.0,Professional,Full-time,,60000.0
United States of America,15.0,Bachelor's,Full-time,5.0,170000.0
Germany,8.0,Bachelor's,Full-time,3.0,69609.0
Germany,5.0,Master's,Full-time,2.0,66128.0
Ukraine,10.0,Master's,Full-time,6.0,67105.0
Netherlands,24.0,Master's,Full-time,2.0,116015.0
United States of America,16.0,Bachelor's,Full-time,6.0,170000.0
France,8.0,Master's,Full-time,,41765.0
Australia,20.0,Bachelor's,Full-time,7.0,94264.0
France,25.0,Master's,Full-time,7.0,52207.0
France,20.0,Professional,Full-time,8.0,92812.0
Australia,24.0,Bachelor's,Full-time,7.0,227533.0
France,12.0,Master's,Full-time,3.0,55687.0
Other,10.0,Master's,Full-time,10.0,93312.0
United States of America,25.0,Some college,Full-time,,155000.0
United States of America,15.0,Bachelor's,Full-time,5.0,150000.0
United Kingdom of Great Britain and Northern Ireland,10.0,Master's,Full-time,6.0,163370.0
Spain,3.0,Associate's,Full-time,2.0,10692.0
Germany,24.0,Master's,Full-time,6.0,75410.0
Poland,20.0,Master's,Full-time,4.0,200000.0
Other,13.0,Bachelor's,Full-time,5.0,100933.0
United States of America,11.0,Associate's,Full-time,4.0,150000.0
United Kingdom of Great Britain and Northern Ireland,35.0,Professional,Full-time,3.0,217826.0
France,17.0,Some college,Full-time,3.0,59167.0
United States of America,6.0,Bachelor's,Full-time,12.0,45480.0
Other,3.0,Bachelor's,Full-time,12.0,38739.0
Brazil,14.0,High school,Full-time,7.0,109222.0
Other,12.0,Master's,Full-time,8.0,47478.0
Italy,24.0,Master's,Full-time,,39445.0
Other,8.0,Some college,Full-time,4.0,28425.0
Other,20.0,Some college,Full-time,8.0,81210.0
Switzerland,32.0,Master's,Full-time,4.0,433975.0
Poland,30.0,Master's,Full-time,,127616.0
United States of America,15.0,Associate's,Full-time,,120000.0
United States of America,25.0,Some college,Full-time,6.0,131850.0
Spain,19.0,Master's,Full-time,6.0,60328.0
Australia,15.0,Bachelor's,Full-time,9.0,91013.0
Germany,20.0,Master's,Full-time,6.0,112534.0
United States of America,11.0,Bachelor's,Full-time,3.0,140000.0
United States of America,12.0,Master's,Full-time,,141000.0
Other,19.0,Bachelor's,Full-time,,58724.0
Other,11.0,Bachelor's,Full-time,2.0,22599.0
United States of America,22.0,Bachelor's,Full-time,5.0,100000.0
Switzerland,15.0,Professional,Full-time,2.0,148791.0
United States of America,6.0,Bachelor's,Full-time,,139000.0
Netherlands,20.0,Bachelor's,Full-time,4.0,84691.0
United States of America,17.0,Bachelor's,Full-time,4.0,124000.0
Canada,20.0,Bachelor's,Full-time,5.0,90468.0
Other,5.0,Bachelor's,Student,7.0,19941.0
Other,6.0,Bachelor's,Full-time,4.0,13053.0
Other,2.0,Some college,Full-time,2.0,60328.0
Other,15.0,Master's,Full-time,3.0,58725.0
Switzerland,18.0,Master's,Full-time,2.0,223187.0
Brazil,30.0,Master's,Full-time,2.0,27306.0
United States of America,18.0,Bachelor's,Full-time,6.0,180000.0
Other,26.0,Professional,Full-time,12.0,162421.0
Other,13.0,Master's,Full-time,8.0,15000.0
Italy,25.0,Master's,Full-time,15.0,34804.0
Canada,26.0,Bachelor's,Full-time,4.0,94846.0
United States of America,40.0,Associate's,Full-time,9.0,70000.0
United States of America,30.0,Bachelor's,Full-time,6.0,150000.0
United States of America,14.0,Bachelor's,Full-time,8.0,95000.0
Germany,26.0,Professional,Full-time,5.0,139218.0
Brazil,5.0,High school,Full-time,2.0,10922.0
Netherlands,6.0,Master's,Full-time,6.0,104413.0
Other,4.0,Some college,Full-time,4.0,53072.0
India,23.0,Bachelor's,Full-time,3.0,74393.0
Other,14.0,Master's,Full-time,8.0,12009.0
United Kingdom of Great Britain and Northern Ireland,9.0,Some college,Full-time,4.0,26139.0
Other,12.0,Bachelor's,Full-time,4.0,69609.0
Spain,8.0,Some college,Full-time,,243631.0
Other,27.0,Bachelor's,Full-time,6.0,148499.0
Germany,33.0,Master's,Full-time,6.0,208826.0
United States of America,15.0,High school,Full-time,,200000.0
Other,10.0,Master's,Full-time,7.0,44658.0
Italy,42.0,Master's,Full-time,9.0,47566.0
United States of America,10.0,Professional,Full-time,1.0,175000.0
United States of America,15.0,Bachelor's,Full-time,,420000.0
Australia,11.0,Bachelor's,Student,6.0,22753.0
Other,8.0,Bachelor's,Full-time,,21166.0
Other,9.0,Bachelor's,Full-time,9.0,75410.0
Brazil,1.0,Bachelor's,Full-time,7.0,10922.0
Germany,35.0,Master's,Full-time,4.0,174022.0
Australia,30.0,Bachelor's,Full-time,5.0,83434.0
Canada,32.0,Bachelor's,Full-time,7.0,86820.0
Brazil,32.0,Bachelor's,Full-time,,45509.0
Other,9.0,Bachelor's,Full-time,,19173.0
United States of America,13.0,Master's,Student,7.0,35000.0
United States of America,35.0,Bachelor's,Full-time,9.0,147000.0
India,,Master's,Full-time,6.0,11624.0
United Kingdom of Great Britain and Northern Ireland,20.0,Bachelor's,Full-time,,408424.0
Germany,15.0,Associate's,Full-time,12.0,16242.0
United States of America,26.0,Other,Full-time,5.0,30000.0
Germany,12.0,Bachelor's,Full-time,4.0,116015.0
Germany,14.0,Bachelor's,Full-time,10.0,106733.0
Germany,15.0,Professional,Full-time,6.0,110214.0
Other,35.0,High school,Full-time,2.0,147071.0
Germany,10.0,Bachelor's,Full-time,,63808.0
India,10.0,Bachelor's,Full-time,5.0,20923.0
Italy,8.0,High school,Full-time,5.0,42925.0
India,10.0,Bachelor's,Full-time,5.0,40684.0
Netherlands,15.0,Professional,Full-time,4.0,62648.0
Germany,12.0,Professional,Full-time,5.0,81210.0
Brazil,15.0,Professional,Full-time,6.0,18204.0
Other,7.0,Some college,Full-time,4.0,11790.0
Other,42.0,Bachelor's,Full-time,12.0,139218.0
Italy,10.0,Bachelor's,Full-time,,25523.0
United States of America,20.0,Bachelor's,Full-time,7.0,300000.0
Poland,17.0,Master's,Full-time,7.0,62221.0
Canada,32.0,Master's,Full-time,,124029.0
France,15.0,Other,Full-time,6.0,74249.0
Germany,35.0,Bachelor's,Full-time,7.0,62648.0
United Kingdom of Great Britain and Northern Ireland,5.0,Professional,Full-time,3.0,108913.0
United States of America,20.0,Bachelor's,Full-time,4.0,135000.0
United Kingdom of Great Britain and Northern Ireland,23.0,Bachelor's,Full-time,4.0,70794.0
Germany,25.0,Master's,Full-time,13.0,116015.0
United States of America,8.0,Bachelor's,Full-time,4.0,102000.0
Other,9.0,Bachelor's,Full-time,15.0,46637.0
Poland,35.0,Master's,Full-time,3.0,72318.0
United States of America,10.0,Master's,Student,5.0,35000.0
Other,17.0,Professional,Full-time,7.0,81210.0
India,3.0,Bachelor's,Full-time,4.0,15867.0
United Kingdom of Great Britain and Northern Ireland,18.0,Master's,Full-time,4.0,117082.0
Germany,27.0,High school,Full-time,,52207.0
Other,5.0,Bachelor's,Full-time,4.0,29236.0
Germany,15.0,Master's,Full-time,12.0,73089.0
Canada,43.0,Bachelor's,Full-time,4.0,80254.0
Other,13.0,Bachelor's,Full-time,4.0,81210.0
Other,37.0,Master's,Full-time,5.0,68245.0
Canada,9.0,Bachelor's,Student,12.0,21888.0
United States of America,20.0,Bachelor's,Full-time,,225000.0
India,20.0,Master's,Full-time,4.0,46496.0
Germany,35.0,Some college,Full-time,6.0,92812.0
Sweden,30.0,Master's,Full-time,10.0,85954.0
Switzerland,19.0,Master's,Full-time,11.0,185989.0
United Kingdom of Great Britain and Northern Ireland,42.0,Bachelor's,Full-time,5.0,117082.0
Spain,35.0,Professional,Full-time,6.0,75410.0
United States of America,10.0,Bachelor's,Full-time,10.0,120000.0
United Kingdom of Great Britain and Northern Ireland,15.0,Some college,Full-time,11.0,61264.0
Other,7.0,Bachelor's,Full-time,8.0,88243.0
United Kingdom of Great Britain and Northern Ireland,14.0,Bachelor's,Full-time,9.0,174261.0
Sweden,35.0,Some college,Full-time,6.0,60000.0
United States of America,23.0,Bachelor's,Full-time,6.0,250000.0
Germany,18.0,Professional,Full-time,9.0,87011.0
United States of America,12.0,Some college,Full-time,7.0,43000.0
Germany,23.0,Master's,Full-time,7.0,87011.0
United States of America,25.0,Bachelor's,Full-time,6.0,170000.0
Other,13.0,Some college,Full-time,5.0,25370.0
Ukraine,14.0,Master's,Full-time,2.0,41605.0
Germany,18.0,Bachelor's,Full-time,5.0,98612.0
Other,7.0,Bachelor's,Full-time,7.0,15041.0
Switzerland,6.0,Master's,Full-time,13.0,148791.0
Other,18.0,Professional,Full-time,14.0,330871.0
United States of America,20.0,Master's,Full-time,6.0,140000.0
Ukraine,7.0,Master's,Full-time,,47000.0
Germany,45.0,Professional,Full-time,23.0,92812.0
Poland,15.0,Bachelor's,Full-time,7.0,175000.0
United States of America,6.0,Master's,Full-time,,118000.0
United States of America,21.0,Bachelor's,Full-time,4.0,185000.0
Other,11.0,Bachelor's,Full-time,2.0,80000.0
United States of America,23.0,Bachelor's,Full-time,8.0,175000.0
India,5.0,Bachelor's,Full-time,8.0,153436.0
United States of America,26.0,Master's,Full-time,9.0,210000.0
United States of America,30.0,Some college,Full-time,7.0,300000.0
Italy,28.0,High school,Full-time,3.0,116015.0
Canada,40.0,Bachelor's,Full-time,1.0,102142.0
United States of America,25.0,Bachelor's,Full-time,8.0,225000.0
Sweden,25.0,Master's,Full-time,7.0,146750.0
Germany,20.0,Some college,Full-time,7.0,110214.0
United States of America,18.0,Bachelor's,Full-time,,150000.0
United States of America,9.0,Bachelor's,Full-time,,72000.0
Canada,35.0,Bachelor's,Full-time,9.0,161968.0
United States of America,9.0,High school,Full-time,9.0,82000.0
United Kingdom of Great Britain and Northern Ireland,20.0,Some college,Full-time,12.0,231441.0
Poland,2.0,Associate's,Full-time,7.0,28927.0
Ukraine,4.0,Associate's,Full-time,9.0,11983.0
United States of America,15.0,Bachelor's,Full-time,4.0,160000.0
United States of America,25.0,Master's,Full-time,8.0,200000.0
United Kingdom of Great Britain and Northern Ireland,12.0,Master's,Full-time,8.0,74878.0
Ukraine,25.0,Master's,Full-time,8.0,96000.0
Other,7.0,Bachelor's,Full-time,4.0,67177.0
United States of America,28.0,Master's,Full-time,,252000.0
United States of America,10.0,Professional,Full-time,3.0,110000.0
United States of America,40.0,Master's,Full-time,6.0,145000.0
Germany,7.0,Bachelor's,Student,10.0,11601.0
Switzerland,18.0,Bachelor's,Full-time,8.0,148791.0
Germany,7.0,Master's,Full-time,3.0,54527.0
Canada,6.0,Bachelor's,Full-time,7.0,69310.0
Canada,10.0,Other,Full-time,,74418.0
United States of America,15.0,Bachelor's,Full-time,6.0,104000.0
Other,25.0,Master's,Full-time,3.0,42125.0
Australia,42.0,Some college,Full-time,6.0,26004.0
United States of America,14.0,Some college,Full-time,17.0,210000.0
United States of America,8.0,Bachelor's,Full-time,7.0,40000.0
United Kingdom of Great Britain and Northern Ireland,17.0,Master's,Student,10.0,28590.0
United States of America,30.0,Professional,Full-time,7.0,160000.0
United Kingdom of Great Britain and Northern Ireland,9.0,Some college,Student,13.0,12253.0
United States of America,17.0,Master's,Full-time,9.0,40000.0
Spain,20.0,Master's,Full-time,7.0,127616.0
United States of America,14.0,Some college,Full-time,10.0,130000.0
Other,24.0,Bachelor's,Full-time,7.0,24872.0
United States of America,20.0,Some college,Full-time,9.0,150000.0
Germany,22.0,Other,Full-time,14.0,104413.0
United States of America,9.0,Bachelor's,Full-time,9.0,93000.0
United States of America,17.0,Master's,Full-time,5.0,190000.0
Germany,10.0,Bachelor's,Full-time,,89331.0
United States of America,10.0,Some college,Full-time,2.0,30000.0
United States of America,20.0,Bachelor's,Full-time,4.0,130000.0
Brazil,15.0,Master's,Full-time,7.0,13882.0
United States of America,31.0,Bachelor's,Full-time,4.0,150000.0
United States of America,9.0,Bachelor's,Full-time,12.0,133000.0
United Kingdom of Great Britain and Northern Ireland,40.0,Bachelor's,Full-time,8.0,74878.0
United States of America,35.0,Some college,Full-time,,275000.0
United States of America,24.0,Bachelor's,Full-time,9.0,150000.0
United States of America,20.0,Bachelor's,Full-time,2.0,99360.0
Canada,20.0,Bachelor's,Full-time,10.0,94846.0
United States of America,8.0,High school,Student,9.0,14000.0
United States of America,15.0,Some college,Full-time,8.0,72000.0
Australia,28.0,Master's,Full-time,7.0,126768.0
Other,25.0,Bachelor's,Full-time,8.0,65634.0
United States of America,53.0,Bachelor's,Full-time,4.0,102000.0
United States of America,8.0,Master's,Full-time,13.0,122000.0
United States of America,9.0,Bachelor's,Full-time,6.0,140000.0
Brazil,5.0,Some college,Full-time,7.0,19114.0
Australia,27.0,Bachelor's,Full-time,,96864.0
Other,16.0,Primary school,Full-time,18.0,96851.0
United States of America,7.0,High school,Full-time,12.0,35000.0
United States of America,1.0,Bachelor's,Full-time,5.0,110000.0
Other,12.0,Bachelor's,Full-time,6.0,37111.0
Other,12.0,Bachelor's,Full-time,4.0,41600.0
Other,5.0,Bachelor's,Full-time,6.0,12737.0
United States of America,28.0,Bachelor's,Full-time,4.0,128000.0
United States of America,9.0,Some college,Full-time,12.0,30000.0
United States of America,10.0,Master's,Full-time,6.0,85000.0
Other,14.0,Some college,Full-time,6.0,480000.0
Other,40.0,Bachelor's,Full-time,6.0,197225.0
